,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
0,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
1,yes,very,very,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
2,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
3,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
4,yes,very,very,verygood,5,5,5,5,5,not_used,not_used,not_used,yes,yes
5,yes,very,very,verygood,5,not_rated,5,5,5,not_used,not_used,not_used,yes,yes
6,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
7,yes,very,very,verygood,5,not_used,5,2,2,2,not_used,2,yes,yes
8,yes,very,very,verygood,5,not_used,5,2,5,not_used,not_used,2,yes,yes
9,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
10,yes,very,very,verygood,5,5,5,5,not_used,not_used,not_used,not_used,yes,yes
11,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
12,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
13,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
14,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
15,yes,very,very,okay,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
16,yes,very,very,good,not_used,not_used,2,not_used,not_used,not_used,not_used,not_used,yes,yes
17,yes,very,very,verygood,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
18,yes,very,unsure,okay,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
19,yes,very,very,verygood,5,5,5,5,not_used,not_used,not_used,not_used,yes,yes
20,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
21,dontknow,very,very,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
22,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
23,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
24,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
25,yes,very,very,good,5,not_used,5,not_used,not_used,5,not_used,not_used,yes,yes
26,yes,very,very,verygood,5,not_used,5,not_used,not_used,5,not_used,not_used,yes,yes
27,yes,very,very,good,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
28,yes,very,very,good,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
29,yes,very,very,verygood,not_rated,not_rated,not_rated,not_rated,not_used,not_used,not_used,not_used,yes,yes
30,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
31,yes,very,very,good,5,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
32,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
33,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
34,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
35,yes,somewhat,very,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,maybe
36,yes,somewhat,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
37,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
38,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
39,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
40,yes,very,very,verygood,4,3,5,not_used,5,not_used,not_used,not_used,yes,yes
41,yes,very,very,verygood,not_rated,not_rated,not_rated,not_rated,not_used,not_used,not_used,not_used,yes,yes
42,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
43,yes,very,very,verygood,4,3,4,5,4,3,3,5,yes,yes
44,yes,very,unsure,verygood,3,4,3,2,4,2,3,5,yes,yes
45,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
46,dontknow,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
47,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
48,yes,very,very,verygood,5,not_used,4,5,5,5,not_used,not_used,yes,yes
49,no,unsure,very,okay,not_used,not_used,5,not_used,4,not_used,5,not_used,yes,yes
50,no,unsure,very,okay,not_used,not_used,5,not_used,4,not_used,5,not_used,yes,yes
51,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
52,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
53,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
54,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
55,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
56,yes,very,very,verygood,not_used,not_used,5,not_used,5,not_used,not_used,not_used,yes,yes
57,no,unsure,very,okay,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
58,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
59,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
60,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
61,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
62,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
63,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,maybe
64,yes,very,somewhat,verygood,not_used,not_used,4,not_used,3,not_used,not_used,not_used,yes,yes
65,dontknow,unsure,unsure,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
66,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
67,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
68,yes,very,very,verygood,not_used,not_used,5,not_used,5,not_used,not_used,not_used,yes,yes
69,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
70,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
71,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
72,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
73,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
74,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
75,yes,very,very,verygood,not_used,not_used,5,not_used,3,not_used,not_used,not_used,yes,yes
76,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
77,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
78,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
79,yes,very,very,verygood,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
80,yes,very,somewhat,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
81,no,very,somewhat,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
82,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
83,yes,very,very,verygood,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
84,yes,very,very,verygood,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,maybe
85,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
86,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
87,yes,unsure,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
88,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
89,yes,very,very,verygood,4,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
90,yes,very,very,good,4,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
91,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,4,yes,yes
92,dontknow,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
93,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
94,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,yes,yes
95,yes,very,very,verygood,not_rated,not_rated,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
96,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
97,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
98,yes,very,very,verygood,not_rated,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
99,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,yes,yes
100,yes,somewhat,somewhat,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
101,yes,very,very,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
102,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
103,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
104,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
105,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
106,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
107,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
108,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
109,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_rated,yes,yes
110,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_rated,yes,yes
111,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,5,yes,yes
112,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
113,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
114,yes,very,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
115,yes,very,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
116,yes,very,very,verygood,5,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
117,yes,very,somewhat,good,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,maybe
118,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
119,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
