,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,14,Alot,not_used,3,not_used,not_used,4,3,not_used,not_used,not_used,verygood,none,yes,never,yes,home,regularly,yes
1,female,14,No,not_used,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,rarely,yes
2,female,14,No,not_used,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,rarely,yes
3,female,15,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,4,good,none,yes,sometimes,yes,no,sometimes,yes
4,male,16,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,3,verygood,none,yes,never,yes,no,never,yes
5,female,14,No,4,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
6,female,14,No,4,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
7,male,15,No,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,rarely,yes
8,female,14,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,4,good,none,yes,sometimes,yes,no,sometimes,yes
9,female,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
10,female,14,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
11,female,15,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,never,yes,no,never,yes
12,female,14,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
13,female,14,Alittle,4,not_used,5,not_used,not_used,5,not_used,not_used,not_used,verygood,none,yes,rarely,yes,no,sometimes,yes
14,female,14,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
15,female,14,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
16,male,14,No,4,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
17,male,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
18,male,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,experience,yes,veryregularly,yes,no,veryregularly,yes
19,male,13,No,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,3,verygood,english,yes,never,yes,HomeSchool,sometimes,yes
20,male,15,No,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,4,good,none,yes,sometimes,yes,HomeSchool,veryregularly,yes
21,male,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
22,male,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
23,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
24,male,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,regularly,yes,home,veryregularly,yes
25,female,15,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,never,yes,no,never,yes
26,male,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
27,female,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,regularly,yes
28,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
29,female,13,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,no,sometimes,yes
30,female,14,Alittle,3,not_used,5,not_used,not_used,5,not_used,not_used,not_used,good,none,yes,rarely,yes,no,rarely,yes
31,male,15,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,no,sometimes,yes
32,male,13,No,not_used,not_used,5,5,not_used,not_used,not_used,not_used,5,verygood,english,yes,regularly,yes,no,sometimes,yes
33,female,14,Alittle,5,not_used,5,4,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
34,female,15,Alittle,5,not_used,5,4,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
35,male,15,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,experience,yes,sometimes,yes,home,regularly,yes
36,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,english,yes,veryregularly,yes,no,sometimes,yes
37,male,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,sometimes,yes
38,male,15,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,no,sometimes,yes
39,male,15,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,veryregularly,yes
40,male,13,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,2,verygood,none,yes,sometimes,yes,home,veryregularly,yes
41,male,11,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,school,sometimes,yes
42,female,16,No,4,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,rarely,yes,school,sometimes,yes
43,male,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,experience,yes,regularly,yes,no,never,yes
44,female,14,No,4,not_used,4,not_used,not_used,3,not_used,not_used,5,good,none,yes,sometimes,yes,home,veryregularly,yes
45,male,14,Alittle,not_used,not_used,3,2,2,not_used,not_used,not_used,1,verygood,other,yes,sometimes,yes,home,veryregularly,yes
46,male,14,Alittle,not_used,not_used,3,3,not_used,not_used,not_used,not_used,2,verygood,other,yes,sometimes,yes,home,regularly,yes
47,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,never,yes,home,regularly,yes
48,female,15,No,1,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
49,male,15,Alittle,5,not_used,5,5,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,no,sometimes,yes
50,male,13,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,2,verygood,none,yes,sometimes,yes,home,veryregularly,yes
51,male,15,Alot,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,home,regularly,maybe
52,male,13,Alittle,4,5,5,4,5,3,not_used,4,5,verygood,none,yes,sometimes,yes,HomeSchool,regularly,no
53,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,regularly,yes,home,regularly,yes
54,female,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
55,female,14,No,4,not_used,4,not_used,not_used,3,not_used,not_used,5,good,none,yes,sometimes,yes,home,veryregularly,yes
56,female,14,No,4,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,rarely,yes,school,sometimes,yes
57,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,sometimes,yes,no,rarely,yes
58,male,13,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
59,male,13,No,1,5,5,not_used,not_used,not_used,not_used,not_used,5,good,none,yes,never,yes,home,veryregularly,maybe
60,female,14,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,4,good,none,yes,sometimes,yes,home,sometimes,yes
61,female,14,No,4,not_used,3,not_used,not_used,not_used,not_used,4,not_used,good,none,yes,sometimes,yes,home,regularly,yes
62,female,14,No,4,not_used,2,not_used,not_used,not_used,not_used,not_used,2,verygood,none,yes,sometimes,yes,no,sometimes,yes
63,female,15,No,4,not_used,4,not_used,not_used,not_used,not_used,not_used,3,verygood,none,yes,sometimes,yes,school,sometimes,yes
64,male,13,Alot,1,5,5,not_used,not_used,not_used,not_used,not_used,4,verygood,english,yes,rarely,yes,HomeSchool,regularly,yes
65,male,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,sometimes,yes,home,veryregularly,yes
66,male,15,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,good,none,yes,veryregularly,yes,no,never,yes
67,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,sometimes,yes,no,sometimes,yes
68,male,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,school,sometimes,yes
69,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,good,none,yes,never,yes,school,sometimes,yes
70,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,good,none,yes,veryregularly,yes,no,never,yes
71,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,good,none,yes,sometimes,yes,school,sometimes,yes
72,male,14,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,school,veryregularly,yes
73,male,14,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
74,male,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,other,yes,never,yes,no,sometimes,maybe
75,male,13,Alittle,3,not_used,3,not_used,not_used,not_used,not_used,4,3,verygood,none,yes,sometimes,yes,HomeSchool,veryregularly,yes
76,male,14,No,not_used,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,good,experience,maybe,regularly,yes,no,sometimes,yes
77,male,15,No,not_used,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,verygood,both,yes,never,yes,no,sometimes,yes
78,male,16,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_rated,verygood,none,yes,never,yes,no,never,yes
79,male,13,Alittle,5,4,1,not_used,not_used,not_used,not_used,not_used,1,good,none,yes,rarely,yes,no,regularly,yes
80,male,13,Alot,5,4,1,not_used,not_used,not_used,not_used,not_used,1,good,none,yes,rarely,yes,HomeSchool,veryregularly,yes
81,female,15,No,5,not_used,5,not_used,4,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,HomeSchool,veryregularly,yes
82,female,13,Alittle,5,not_used,5,3,not_used,3,not_used,not_used,5,verygood,none,yes,never,yes,school,regularly,yes
83,female,14,No,2,not_used,3,4,4,3,not_used,1,5,verygood,none,yes,sometimes,yes,home,veryregularly,yes
84,female,14,Alittle,5,not_used,4,3,not_used,3,not_used,not_used,5,verygood,none,yes,never,yes,HomeSchool,veryregularly,yes
85,male,14,No,5,4,5,5,4,3,not_used,4,4,verygood,none,yes,sometimes,yes,no,regularly,yes
86,male,14,No,5,3,4,5,4,3,not_used,4,4,verygood,none,yes,sometimes,yes,no,never,yes
87,female,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,school,sometimes,yes
88,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,veryregularly,yes,school,sometimes,yes
89,female,15,Alittle,5,not_used,5,5,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,regularly,yes
90,female,15,No,5,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
91,male,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
92,male,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
93,male,18,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
94,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,school,veryregularly,yes
95,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,regularly,yes,school,veryregularly,yes
96,female,14,Alittle,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,good,none,yes,sometimes,yes,school,sometimes,yes
97,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,veryregularly,yes,no,veryregularly,yes
98,female,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,school,sometimes,yes
99,female,14,Alittle,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,regularly,yes,school,veryregularly,yes
100,female,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,school,veryregularly,yes
101,female,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,regularly,yes,school,veryregularly,yes
102,female,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,sometimes,yes,school,sometimes,yes
103,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,no,sometimes,yes
104,female,15,Alittle,5,not_used,5,5,5,not_used,not_used,not_used,not_used,verygood,english,yes,rarely,yes,no,sometimes,yes
105,female,15,Alittle,5,not_used,5,5,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,regularly,yes
106,female,14,Alittle,5,not_used,5,5,5,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
107,male,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
108,male,13,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,regularly,yes,no,regularly,yes
109,male,13,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,regularly,yes,school,regularly,yes
110,male,14,No,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,home,veryregularly,yes
111,female,15,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
112,female,15,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
113,female,15,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
114,female,15,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
115,female,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,english,yes,sometimes,yes,school,sometimes,yes
116,female,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,english,yes,sometimes,yes,school,sometimes,yes
117,female,15,No,4,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,maybe,sometimes,no,school,never,maybe
118,female,15,Alittle,4,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,veryregularly,yes,school,veryregularly,maybe
119,male,14,No,5,2,3,2,5,4,not_used,2,1,verygood,experience,yes,never,yes,no,never,yes
120,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,yes
121,female,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,sometimes,yes,school,sometimes,yes
122,female,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,english,yes,sometimes,yes,school,sometimes,yes
123,male,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,never,yes
124,male,12,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,school,sometimes,yes
